,WIN1!_open,WIN1!_high,WIN1!_low,WIN1!_close,WIN1!_target(%),WIN1!_target($),WIN1!_target(bi),f9,f1,f2,f3,f4,f5,f6,f7,f8,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,last_update
2005-03-03,28600.0,28940.0,28600.0,28920.0,0.02270363951473131,655.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0118881118881118,,,,,2025-06-23 21:45:06.610580
2005-03-04,28850.0,29505.0,28850.0,29505.0,0.0018675721561969283,55.0,1,0.020228215767634783,,,,0.020228215767634783,,,,,,,,,,,,,,,,,,,,,1.0227036395147313,,,,,2025-06-23 21:45:06.610580
2005-03-07,29450.0,29725.0,29450.0,29505.0,-0.0016013628620101805,-47.0,0,0.0,,,,0.0,,,,,,,,,,,,,0.020228215767634783,,,,,,,,1.0093378607809846,,,,,2025-06-23 21:45:06.610580
2005-03-09,29350.0,29350.0,28600.0,29303.0,0.024580419580419566,703.0,1,-0.006846297237756316,,,,-0.006846297237756316,,,,,,,,,,,,,0.0,0.020228215767634783,,,,,,,1.0262237762237763,,,,,2025-06-23 21:45:06.610580
2005-03-10,28600.0,29303.0,28250.0,29303.0,-0.006081548030407724,-176.0,0,0.0,,,,0.0,-0.00014330949391283543,,,,,,,,,,,,-0.006846297237756316,0.0,0.020228215767634783,,,,,,1.0372743362831858,,,,,2025-06-23 21:45:06.610580
2005-03-11,28940.0,29250.0,28200.0,28764.0,0.00597864768683265,168.0,1,-0.018394021089990775,,,,-0.018394021089990775,-0.0174887279683017,,,,,,-0.0010024205120224617,,,,,,0.0,-0.006846297237756316,0.0,,,,,,1.0372340425531914,,,,,2025-06-23 21:45:06.610580
2005-03-14,28100.0,28290.0,28100.0,28268.0,-0.0028521126760563398,-81.0,0,-0.017243776943401512,,,,-0.017243776943401512,-0.026201745864423365,,,,,,-0.00849681905422972,,,,,,-0.018394021089990775,0.0,-0.006846297237756316,0.020228215767634783,,,,,1.006761565836299,,,,,2025-06-23 21:45:06.610580
2005-03-15,28400.0,28400.0,28319.0,28319.0,-0.0009352517985611319,-26.0,0,0.0018041601811236152,,,,0.0018041601811236152,-0.016407677292524903,,,,,,-0.008135987018004998,,,,,,-0.017243776943401512,-0.018394021089990775,0.0,0.0,0.020228215767634783,,,,1.002860270489777,,,,,2025-06-23 21:45:06.610580
2005-03-16,27800.0,28000.0,27380.0,27774.0,0.011803278688524488,324.0,1,-0.019245029838624195,,,,-0.019245029838624195,-0.024981043053332153,,,,,,-0.010615733538178573,,,,,,0.0018041601811236152,-0.017243776943401512,-0.018394021089990775,-0.006846297237756316,0.0,0.020228215767634783,,,1.0226442658875092,,,,,2025-06-23 21:45:06.610580
2005-03-17,27450.0,28350.0,27360.0,27774.0,0.0020921985815602895,59.0,1,0.0,,,,0.0,-0.014400386092165318,-0.033729364899890424,,,,,-0.010615733538178573,,,,,,-0.019245029838624195,0.0018041601811236152,-0.017243776943401512,0.0,-0.006846297237756316,0.0,0.020228215767634783,,1.0361842105263157,,,,,2025-06-23 21:45:06.610580
